course_code,course_name,AU
HA2023,RESEARCH METHODOLOGY IN SOCIAL SCIENCES*~,3.0
HA2026,AMERICAN FOREIGN POLICY*~,3.0
HA2028,ETHICS IN PUBLIC POLICY MAKING & IMPLEMENTATION*~,3.0
HA3023,INTERNATIONAL SECURITY*~,3.0
HA3026,CRISIS LEADERSHIP & MANAGEMENT*~,3.0
HA3090,SPECIAL TOPICS IN GLOBAL AFFAIRS*~,3.0
HA3093,NON-WESTERN & GLOBAL INTERNATIONAL RELATIONS THEORIES*~,3.0
HA3094,INTERNATIONAL RELATIONS OF NORTHEAST ASIA*~,3.0
HA4001,ASEAN IN THE 21ST CENTURY*~,4.0
HA4017,ECONOMIC ISSUES FOR PUBLIC DECISION MAKING*~,4.0
HA4021,COMPARATIVE POLITICS IN ASIA*~,4.0
HA4022,INTERNATIONAL POLITICS OF THE ASIA-PACIFIC*~,4.0
HA4026,SELECTED TOPICS IN HEALTH CARE & AGEING*~,4.0
HA4044,POLICY VALUES & DEBATES*~,4.0
HA4046,"CULTURE, ARTS & POLITICS*~",4.0
HA4068,POLITICS IN THAILAND*~,4.0
HC1001,INTRODUCTION TO THE STUDY OF LITERATURE & CULTURE*~,3.0
HC1002,INTRODUCTION TO CHINESE LANGUAGE*~,3.0
HC2001,"DIRECTED READINGS OF LITERARY WORKS: PRE-QIN,HAN,WEI & JIN",3.0
HC2004,"DIRECTED READINGS OF LITERARY WORKS: YUAN, MING & QING",3.0
HC2006,INTRODUCTION TO CHINESE HISTORY,3.0
HC2007,DIRECTED READINGS OF LITERARY WORKS: PRE- QIN TO TANG,3.0
HC2018,"BOOK CULTURE, CHINESE PRINT HISTORY, & TECHNOLOGY*~",3.0
HC2030,CONTENTION OF A HUNDRED SCHOOLS OF THOUGHT: PRE-QIN THINKERS*~,3.0
HC2040,UNDERSTANDING CHINA*~,3.0
HC2053,VARIETIES OF CHINESE*~,3.0
HC3002,HISTORY OF CHINESE THOUGHT,3.0
HC3003,SOUTHEAST ASIAN CHINESE,3.0
HC3044,TO BECOME BUDDHA & IMMORTAL: DAOISM & CHINESE BUDDHISM*~,3.0
HC3062,CHINESE OVERSEAS & CHINA*~,3.0
HC3063,CRITICAL STUDY OF SINGAPORE SOCIETY & CULTURE*~,3.0
HC4010,CLASSICAL CHINESE LITERARY THEORY*~,4.0
